lan,lac,year,s,ss,emissions
Barnsley,E08000016,2009,Transport,Road Transport (Motorways),153.3410928
Barnsley,E08000016,2009,Transport,Road Transport (Minor roads),148.7841312
Barnsley,E08000016,2009,Transport,Diesel Railways,5.229688362
Barnsley,E08000016,2009,Transport,Transport Other,2.559535309
Barnsley,E08000016,2010,Commercial,Commercial Electricity,85.48933512
Barnsley,E08000016,2010,Commercial,Commercial Gas,40.47310133
Barnsley,E08000016,2010,Commercial,Commercial 'Other Fuels',0.462204616
Barnsley,E08000016,2010,Domestic,Domestic Electricity,188.7291491
Barnsley,E08000016,2010,Domestic,Domestic Gas,309.8955537
Barnsley,E08000016,2010,Domestic,Domestic 'Other Fuels',92.57723983
Barnsley,E08000016,2010,Industry,Industry Electricity,149.6925542
Barnsley,E08000016,2010,Industry,Industry Gas,159.5004772
Barnsley,E08000016,2010,Industry,Large Industrial Installations,41.99390432
Barnsley,E08000016,2010,Industry,Industry 'Other Fuels',89.42598432
Barnsley,E08000016,2010,Industry,Agriculture,6.342134573
Barnsley,E08000016,2010,LULUCF,LULUCF Net Emissions: Forest land,-16.37772346
Barnsley,E08000016,2010,LULUCF,LULUCF Net Emissions: Cropland,7.690071084
Barnsley,E08000016,2010,LULUCF,LULUCF Net Emissions: Grassland,-8.211136816
Barnsley,E08000016,2010,LULUCF,LULUCF Net Emissions: Wetlands,-2.094345754
Barnsley,E08000016,2010,LULUCF,LULUCF Net Emissions: Settlements,5.621684481
Barnsley,E08000016,2010,Public Sector,Public Sector Electricity,18.58872145
Barnsley,E08000016,2010,Public Sector,Public Sector Gas,26.97740909
Barnsley,E08000016,2010,Public Sector,Public Sector 'Other Fuels',0.19813365
Barnsley,E08000016,2010,Transport,Road Transport (A roads),157.9920888
Barnsley,E08000016,2010,Transport,Road Transport (Motorways),159.3492978
Barnsley,E08000016,2010,Transport,Road Transport (Minor roads),149.3735256
Barnsley,E08000016,2010,Transport,Diesel Railways,5.252870227
Barnsley,E08000016,2010,Transport,Transport Other,2.598467973
Barnsley,E08000016,2011,Commercial,Commercial Electricity,79.12940544
Barnsley,E08000016,2011,Commercial,Commercial Gas,32.65200066
Barnsley,E08000016,2011,Commercial,Commercial 'Other Fuels',0.525893852
Barnsley,E08000016,2011,Domestic,Domestic Electricity,180.4560981
Barnsley,E08000016,2011,Domestic,Domestic Gas,255.396904
Barnsley,E08000016,2011,Domestic,Domestic 'Other Fuels',86.88391627
Barnsley,E08000016,2011,Industry,Industry Electricity,137.0557195
Barnsley,E08000016,2011,Industry,Industry Gas,138.2210025
Barnsley,E08000016,2011,Industry,Large Industrial Installations,43.14323295
Barnsley,E08000016,2011,Industry,Industry 'Other Fuels',77.60639823
Barnsley,E08000016,2011,Industry,Agriculture,6.563544902
Barnsley,E08000016,2011,LULUCF,LULUCF Net Emissions: Forest land,-16.58128288
Barnsley,E08000016,2011,LULUCF,LULUCF Net Emissions: Cropland,7.567461742
Barnsley,E08000016,2011,LULUCF,LULUCF Net Emissions: Grassland,-8.30541541
Barnsley,E08000016,2011,LULUCF,LULUCF Net Emissions: Wetlands,-2.094345754
Barnsley,E08000016,2011,LULUCF,LULUCF Net Emissions: Settlements,5.553486125
Barnsley,E08000016,2011,Public Sector,Public Sector Electricity,16.00244413
Barnsley,E08000016,2011,Public Sector,Public Sector Gas,21.36213779
Barnsley,E08000016,2011,Public Sector,Public Sector 'Other Fuels',0.358052662
Barnsley,E08000016,2011,Transport,Road Transport (A roads),155.8287648
Barnsley,E08000016,2011,Transport,Road Transport (Motorways),150.9929907
Barnsley,E08000016,2011,Transport,Road Transport (Minor roads),148.1056693
Barnsley,E08000016,2011,Transport,Diesel Railways,5.060499107
Barnsley,E08000016,2011,Transport,Transport Other,2.508413356
Barnsley,E08000016,2012,Commercial,Commercial Electricity,96.51861807
Barnsley,E08000016,2012,Commercial,Commercial Gas,35.57707167
Barnsley,E08000016,2012,Commercial,Commercial 'Other Fuels',0.401473261
Barnsley,E08000016,2012,Domestic,Domestic Electricity,190.0555833
Barnsley,E08000016,2012,Domestic,Domestic Gas,276.1197006
Barnsley,E08000016,2012,Domestic,Domestic 'Other Fuels',77.64228761
Barnsley,E08000016,2012,Industry,Industry Electricity,168.5677839
Barnsley,E08000016,2012,Industry,Industry Gas,146.081001
Barnsley,E08000016,2012,Industry,Large Industrial Installations,38.58683859
Barnsley,E08000016,2012,Industry,Industry 'Other Fuels',88.07219839
Barnsley,E08000016,2012,Industry,Agriculture,6.489343699
Barnsley,E08000016,2012,LULUCF,LULUCF Net Emissions: Forest land,-16.66502067
